frequency,raw
14227.77,-3.48
14370.04,-3.59
14513.74,-3.73
14658.88,-3.87
14805.47,-3.98
14953.52,-4.08
15103.06,-4.19
15254.09,-4.26
15406.63,-4.36
15560.70,-4.50
15716.30,-4.63
15873.47,-4.74
16032.20,-4.81
16192.52,-4.95
16354.45,-5.08
16517.99,-5.21
16683.17,-5.28
16850.01,-5.40
17018.51,-5.54
17188.69,-5.67
17360.58,-5.76
17534.18,-5.85
17709.53,-5.99
17886.62,-6.12
18065.49,-6.23
18246.14,-6.30
18428.60,-6.44
18612.89,-6.58
18799.02,-6.71
18987.01,-6.85
19176.88,-6.97
19368.65,-7.07
19562.33,-7.17
19757.96,-7.25
19955.54,-7.36
